	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
ALB	0	0	16	1	0	0	0	0	15	3	0	3	12	0	0	0	0	0	32	17	0	5	13	0	2	26	5	0	0	0	14	0	2	0	0	0	7	0	4	4	0	0	1	5	44	15	0	0	5	5
ALCAM	2	3	2	11	5	9	6	29	2	136	8	2	6	12	1	8	5	4228	12	21	16	82	8	11	4	4	140	18	3	1	3	5	10	2	7	5	10	10	5	14	78	6	6	8	10	7	2	3	8	11
ABCD1	82	97	0	79	93	72	41	110	0	0	106	0	0	82	109	118	80	188	0	0	86	0	0	59	0	0	0	207	122	80	0	130	0	120	134	0	0	105	0	0	25	81	44	0	0	0	48	102	0	0
ALDH2	1	0	375	129	3	0	13	0	235	1529	0	376	458	0	0	0	0	14	504	428	0	1730	459	106	251	307	2082	0	0	1	279	0	348	0	0	407	453	0	295	439	160	0	81	275	325	252	29	81	409	509
ALDH3A1	2	0	482	207	1	1	0	1	463	0	3	532	512	3	1	1	2	0	348	459	1	0	348	86	509	400	0	2	1	0	389	2	451	0	1	456	298	1	555	286	265	0	212	529	453	506	84	101	628	422
ALDH1B1	0	0	45	23	4	1	2	3	50	33	1	19	44	2	0	6	1	74	78	45	6	72	27	5	31	59	49	3	2	6	37	2	45	7	13	46	33	2	7	23	25	2	10	19	47	23	7	26	27	24
ALDH1A3	1	0	4284	1803	0	0	0	0	4123	5	0	4667	4504	0	0	40	0	88	4316	4335	0	1	4094	1189	4078	4731	6	0	0	0	4990	0	4253	0	0	4762	3599	0	4350	4471	2310	0	1341	4577	3719	3415	1003	973	3863	4735
ALDH3B1	1	2	62	7	1	0	0	1	20	554	1	19	35	0	1	0	0	0	33	11	1	528	45	5	18	25	621	1	3	0	2	1	25	1	1	57	62	0	16	21	8	1	5	13	52	34	12	6	40	35
ALDH3B2	0	0	51	5	0	0	0	0	47	0	0	48	41	0	0	0	0	0	53	82	0	0	53	23	53	48	0	0	0	0	53	0	34	0	0	28	48	0	48	29	32	0	5	29	52	59	21	10	55	61
ALDH9A1	7	7	0	15	14	17	13	11	0	7	9	2	0	6	6	8	8	1307	0	2	8	5	0	8	0	0	1	8	12	10	0	7	0	10	11	0	0	13	0	0	0	2	3	0	0	0	13	4	2	0
ALDH3A2	66	67	0	27	46	30	75	120	0	81	71	0	0	37	60	71	87	48	0	0	57	113	0	30	5	0	70	126	77	70	0	51	0	87	48	0	0	56	0	0	27	54	28	0	0	0	52	110	0	0
ABCD2	0	0	347	351	0	0	0	0	342	0	0	384	278	0	0	0	0	0	319	281	0	0	722	83	309	317	0	0	0	0	310	0	321	0	0	380	446	0	460	123	168	0	158	296	522	332	28	147	242	489
ALDOC	56	41	1	14	31	85	35	36	0	99	79	10	0	41	52	54	36	12	1	7	33	132	6	154	2	0	86	72	50	105	0	103	8	49	34	2	13	37	2	0	39	34	36	2	0	0	19	20	6	2
AKR1B1	0	0	24	8	0	0	0	0	7	6	0	23	26	0	0	0	0	588	31	12	0	1	9	3	13	26	3	0	0	0	49	0	27	0	0	30	17	0	20	24	27	0	7	17	15	28	1	1	7	24
ALOX12B	15	19	0	9	20	21	14	16	0	0	15	0	0	27	28	21	22	4	0	0	13	0	0	13	2	0	0	31	26	17	0	19	0	19	22	0	0	20	0	0	8	8	17	0	0	0	11	18	0	0
ALOX12P1	1	0	24	29	0	0	1	1	43	27	0	96	42	0	0	0	1	37	58	70	0	32	9	5	49	20	35	1	0	0	62	0	59	0	1	49	37	1	129	47	16	0	12	32	31	21	14	18	57	55
ALOX12P2	22	33	0	8	50	20	43	34	0	0	38	0	0	25	13	22	44	47	0	0	30	1	0	6	0	0	1	33	47	20	0	16	0	17	33	0	0	33	0	0	8	39	21	0	0	0	23	8	0	0
ALX3	0	0	196	63	0	0	0	0	116	0	0	143	156	0	0	0	0	0	185	115	0	0	155	14	112	146	0	0	4	0	217	0	125	0	0	100	113	0	109	196	94	0	26	204	244	189	30	33	155	135
AMBP	0	0	747	185	0	0	0	0	1500	7	0	708	521	0	0	10	0	134	530	750	0	4	570	187	394	325	4	0	0	0	325	0	889	0	0	709	1395	0	453	1005	486	0	1130	1321	1379	548	104	336	1634	911
AMELY	0	0	115	19	0	0	0	0	125	0	0	194	181	0	0	0	0	0	61	69	0	0	106	15	196	62	0	0	0	0	71	0	48	0	0	56	201	0	187	67	78	0	21	74	76	39	25	52	133	31
AMFR	0	0	204	4	0	0	0	0	165	1238	0	125	27	0	0	0	0	1445	29	20	0	864	7	10	93	170	1139	0	0	0	10	0	329	0	0	26	148	0	56	46	13	0	9	73	354	153	42	5	60	18
AMPD3	6	1	5	9	10	3	7	8	4	319	2	7	7	30	4	8	4	16	0	5	22	138	4	12	2	16	381	2	7	10	2	15	10	23	14	20	10	22	1	11	9	8	9	8	5	10	12	20	15	9
AMPH	44	31	4	31	48	12	27	65	10	636	17	6	9	172	39	15	16	121	6	8	323	274	4	41	13	4	617	37	176	23	3	182	6	16	37	8	5	189	5	18	27	29	16	11	5	13	40	23	11	13
BIN1	115	100	0	37	31	81	68	63	0	64	98	0	0	169	44	83	41	150	2	0	119	3	0	74	0	0	22	66	82	95	0	96	0	141	106	0	0	159	0	0	21	49	115	0	0	0	40	48	0	0
AMT	0	0	21	6	0	0	0	0	30	231	0	74	17	0	0	0	0	1999	18	23	0	364	55	8	41	34	404	0	0	0	72	0	36	0	0	29	42	0	21	60	79	0	8	64	26	25	7	5	27	62
AMY1B	50	112	16	52	125	72	103	46	4	0	48	2	26	81	65	90	112	38	0	0	30	0	12	34	35	9	0	60	53	74	14	61	4	72	92	11	4	57	13	29	20	51	36	6	1	9	85	43	13	10
ANG	742	542	711	534	178	219	497	143	484	34	320	776	587	889	159	591	194	33	571	540	679	32	519	444	711	590	34	152	888	381	810	168	659	466	933	532	671	128	587	754	942	338	674	615	618	623	391	1184	802	555
ANGPT1	0	0	120	29	0	1	0	0	48	0	0	57	69	0	0	3	0	0	40	34	0	0	32	61	57	32	0	1	0	0	61	0	30	0	0	54	56	0	108	33	83	0	21	75	51	61	11	15	81	48
ANK1	1	0	813	512	0	0	0	0	1158	9	0	846	894	0	0	91	0	25	751	1056	0	0	879	363	1085	1030	9	0	0	0	863	0	920	11	0	1120	1397	0	1087	1288	576	1	357	910	928	1249	234	379	1109	1031
ANK2	1	1	76	12	1	0	0	0	11	934	0	12	22	0	0	12	1	361	21	5	0	1448	14	10	34	85	626	1	0	0	20	0	19	0	0	4	0	0	9	38	5	0	2	82	11	15	2	1	64	4
ANK3	35	95	74	92	19	17	15	19	34	3	30	83	78	41	15	16	28	19	52	53	27	3	19	30	68	32	3	51	44	23	112	27	26	16	15	106	80	28	64	45	46	25	69	107	47	43	19	25	61	37
ANPEP	0	3	26	34	1	3	5	1	5	479	6	48	25	7	4	10	8	0	26	38	4	505	35	17	4	40	392	1	1	3	13	2	33	5	4	8	12	0	13	14	13	2	4	11	30	16	7	3	21	24
SLC25A5	7	4	0	1	3	5	8	2	0	234	6	0	0	4	5	4	4	7126	0	0	1	182	0	0	0	0	358	4	2	20	0	4	0	15	9	0	0	5	0	0	76	8	2	0	0	0	1	4	0	0
ANXA2	95	105	0	55	142	223	110	60	0	19	133	0	0	186	96	114	136	8	0	0	129	8	0	68	2	0	14	222	157	206	0	133	0	125	130	0	0	172	0	0	56	105	73	0	0	0	135	83	0	0
ANXA2P2	0	0	127	50	0	0	0	0	62	5	0	60	62	0	0	4	0	77	128	101	0	9	87	27	50	60	8	0	0	0	79	0	58	0	0	59	60	0	54	65	49	0	16	44	67	64	36	29	84	81
ANXA2P3	0	1	10	1	4	1	1	1	4	0	2	35	6	3	1	2	3	0	24	2	2	0	10	16	21	27	0	3	2	2	33	1	8	3	2	30	5	6	12	17	10	2	4	17	17	26	2	6	4	12
ANXA3	8	10	56	45	6	2	7	4	34	2126	2	101	108	6	9	3	2	102	84	99	2	1427	101	21	49	53	1198	5	7	8	96	9	39	3	14	52	57	5	40	73	50	2	32	74	46	109	10	50	68	76
ANXA5	0	9	7	3	0	0	0	1	6	492	0	2	8	0	0	0	0	57	6	3	0	633	3	3	5	6	352	0	0	0	3	0	3	0	0	4	8	0	2	2	5	0	0	11	10	7	3	1	6	4
ANXA6	3677	4008	14	1874	4203	4129	4015	4086	11	1	3845	20	18	3994	4330	3479	3875	915	5	9	3953	1	1	2611	35	9	1	4118	5094	3266	4	4269	10	3871	3067	15	0	4175	17	11	847	4311	2222	12	3	3	3366	3273	14	5
AOX1	26	17	6	21	19	15	39	48	0	22	60	2	1	68	20	39	62	7	1	2	16	23	1	8	0	2	23	39	12	11	2	24	5	45	27	5	1	25	3	4	12	71	10	6	2	1	19	15	1	4
APAF1	101	88	0	245	75	239	32	132	0	1	50	0	0	63	237	42	109	85	0	0	133	4	0	22	1	0	1	120	84	23	0	100	0	124	40	0	0	54	0	0	26	22	46	0	0	0	29	18	0	0
NUDT2	0	0	141	23	0	0	0	0	59	3713	0	200	69	0	0	0	0	9	146	74	0	4979	60	12	107	47	7829	0	0	0	138	0	90	0	0	176	142	0	52	171	61	0	17	71	64	80	15	14	100	75
